artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
spirit blue,49JcjxYnQNsELWLqtzIycx,52,32019,,https://open.spotify.com/artist/49JcjxYnQNsELWLqtzIycx,https://i.scdn.co/image/ab6761610000e5eb4365112186151b7da76bc330
Sokora Violetov,3PVUWPpPcUtoX3qeKwGJA6,24,2262,,https://open.spotify.com/artist/3PVUWPpPcUtoX3qeKwGJA6,https://i.scdn.co/image/ab6761610000e5ebfbe896106ac588d05a04d720
Eterna,7ekeXKGdf5os6oYTZgKTQP,29,8777,,https://open.spotify.com/artist/7ekeXKGdf5os6oYTZgKTQP,https://i.scdn.co/image/ab6761610000e5eb47b2a82c66bc6a3260f8cd88
untitled (halo),3r9Q5Yy2TA8QG4CtJlvhIn,34,14598,shoegaze,https://open.spotify.com/artist/3r9Q5Yy2TA8QG4CtJlvhIn,https://i.scdn.co/image/ab6761610000e5ebbf2d6ff13f7a190bfb28e6fc
Dean Blunt,5CFSYjc0PAiQvndFjafabk,69,513801,art pop,https://open.spotify.com/artist/5CFSYjc0PAiQvndFjafabk,https://i.scdn.co/image/ab6761610000e5eb21f13f9b540892d4efdec68e
Lee Ikari,33v18PhXgZvDAjihaxiiJc,31,2107,cloud rap; experimental hip hop,https://open.spotify.com/artist/33v18PhXgZvDAjihaxiiJc,https://i.scdn.co/image/ab6761610000e5ebf60636dfe1c412100d2b9766
Samba Jean-Baptiste,7nfBxjb99prCqaT3wk87u5,40,10254,,https://open.spotify.com/artist/7nfBxjb99prCqaT3wk87u5,https://i.scdn.co/image/ab6761610000e5ebd3b97b017488a3544ee83b18
RIP Swirl,2qKskILMPYdropXMRJhn0V,31,9207,shoegaze,https://open.spotify.com/artist/2qKskILMPYdropXMRJhn0V,https://i.scdn.co/image/ab6761610000e5eb8320f5f5fcae154cd53dde50
Double Virgo,6z7qEMTNZigz2k3qozRYw1,37,20459,shoegaze,https://open.spotify.com/artist/6z7qEMTNZigz2k3qozRYw1,https://i.scdn.co/image/ab6761610000e5eb057d19dc65e9dfbc5e9fdcfa
S.Maharba,52RUBnagkvIajEJFXM5AXN,33,25907,plunderphonics,https://open.spotify.com/artist/52RUBnagkvIajEJFXM5AXN,https://i.scdn.co/image/ab6761610000e5eb5c0debb6c2f2a88db27ed127
bar italia,6tYmTHApvspl6KAgTfHjAY,46,90312,lo-fi indie,https://open.spotify.com/artist/6tYmTHApvspl6KAgTfHjAY,https://i.scdn.co/image/ab6761610000e5ebf0cfddd94131d3fbb5443b0e
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L,50,45583,,https://open.spotify.com/artist/4MdQ9btIlh6rzIMA19tu3L,https://i.scdn.co/image/ab6761610000e5eb641b16578d1b493b874a9c4c
Ydegirl,3YAUbceL2MyJfajlikdn1V,33,8670,,https://open.spotify.com/artist/3YAUbceL2MyJfajlikdn1V,https://i.scdn.co/image/ab6761610000e5eb2cda32b9ef0ad492e9d9641b
Michael Angelo,0EYOrtqjnw8JGhxOE8XVRp,38,1633,,https://open.spotify.com/artist/0EYOrtqjnw8JGhxOE8XVRp,https://i.scdn.co/image/ab67616d0000b27350eb2619b75eaf9704f76fa8
voyeur,3NvIlmrQdMib4ST6sbd58n,25,6553,lo-fi indie; shoegaze,https://open.spotify.com/artist/3NvIlmrQdMib4ST6sbd58n,https://i.scdn.co/image/ab6761610000e5eb961cd242a9f53ff9e9fb1ce5
Chanel Beads,3x11XrMEnyP18hv73pmKRL,48,55390,lo-fi indie,https://open.spotify.com/artist/3x11XrMEnyP18hv73pmKRL,https://i.scdn.co/image/ab6761610000e5eb694aabd74b402534213c8503
Camille Keller,3cSFP8ZUJeHzJaPdHtdl0F,30,4280,,https://open.spotify.com/artist/3cSFP8ZUJeHzJaPdHtdl0F,https://i.scdn.co/image/ab6761610000e5eb3213d07caf6a39f620b779d2
X & Yde,6mOtgC49VY9qqHZCUcPyU5,2,336,experimental,https://open.spotify.com/artist/6mOtgC49VY9qqHZCUcPyU5,https://i.scdn.co/image/ab6761610000e5ebe4c5798bdc1ea7fb690f3980
mark william lewis,2r5elgyPQ19vDG3xSQn39k,48,36044,,https://open.spotify.com/artist/2r5elgyPQ19vDG3xSQn39k,https://i.scdn.co/image/ab6761610000e5ebf9dc8500b0934175c0b408f1
